tmID,confID,overall_team_final
2,0,7.9
0,0,7.97
4,0,8.06
19,0,8.18
7,0,8.21
11,0,8.28
15,1,8.38
10,1,8.45
17,1,8.54
13,1,8.68
5,0,8.95
16,1,9.13
8,1,11.17
