playerID,OVERALL_ALL_TIME
abrossv01w,10.7
adamsjo01w,3.9
aguilel01w,2.3
ajavoma01w,7.2
aldrima01w,2.6
alhalta01w,3.2
allench01w,1.8
amachma01w,1.9
ambermo01w,1.2
anderam01w,1.8
anderch01w,4.2
anderjo01w,5.4
anderke01w,3.0
andrame01w,6.8
anosini01w,14.2
arcaija01w,12.2
askamma01w,5.7
atkinla01w,4.7
atunrmo01w,4.7
augusse01w,14.8
aycocan01w,1.6
azizle01w,2.8
azzije01w,12.0
badertr01w,2.3
bakersh01w,5.4
balesal01w,6.9
banchrh01w,1.2
baranel01w,15.1
barksla01w,3.6
barnead01w,4.2
barnequ01w,5.5
batkosu01w,7.9
batteja01w,1.9
battlas01w,5.5
bauerca01w,2.9
beardal01w,15.1
beckki01w,2.0
bennije01w,1.6
berezva01w,1.2
berthlu01w,2.5
beviltu01w,8.1
bibbyje01w,1.9
bibrzag01w,9.0
birdsu01w,13.7
bjorkte01w,1.2
blackde01w,7.8
blodgci01w,2.8
blueni01w,5.2
blueoc01w,2.0
bobbish01w,7.8
boltoru01w,8.7
bondla01w,5.4
bonfisu01w,4.4
bowenli01w,1.5
boydca01w,4.1
braxtka01w,8.0
brazian01w,4.6
bristre01w,1.1
brogami01w,9.6
brondsa01w,9.2
brownco01w,4.5
browned01w,6.3
brownki01w,3.5
brownru01w,8.0
brumfma01w,3.5
brungje01w,2.1
brunsre01w,10.6
bullevi01w,14.8
burgean01w,8.1
burgeli01w,3.8
burraal01w,5.6
burseja01w,8.1
buttsta01w,4.6
byearla01w,5.4
campbed01w,6.5
campbmi01w,1.6
cantydo01w,8.8
careyja01w,3.9
carsoes01w,7.5
carteam01w,2.0
cashsw01w,13.2
cassija01w,3.4
castriz01w,7.6
catchta01w,16.6
caufila01w,2.4
chambco01w,1.1
chanequ01w,4.0
chapmji01w,2.1
choneka01w,1.7
chriska01w,3.7
chrissh01w,11.6
clearmi01w,4.6
clinest01w,2.9
coggicl01w,2.8
cokermo01w,2.1
colemco01w,2.5
colleka01w,5.2
consuca01w,1.4
coopeca01w,2.6
coopecy01w,12.0
crawlsy01w,10.1
crockda01w,1.8
crockwi01w,1.6
cronika01w,2.9
cunnibe01w,3.2
cunnida01w,1.1
currimo01w,10.8
curryed01w,2.7
dalesst01w,9.5
daleygr01w,3.3
darlihe01w,8.0
davenje01w,5.8
davisbr01w,3.3
davisde01w,1.7
deforan01w,11.5
derevje01w,3.5
desouer01w,6.0
dickeke01w,4.1
dillata01w,2.3
dixonta01w,10.2
donapbe01w,3.8
doronsh01w,1.4
dossaci01w,6.2
douglka01w,13.0
duffyme01w,2.8
dupreca01w,15.5
dydekma01w,12.5
edwarmi01w,3.5
edwarsi01w,6.6
edwarte01w,10.1
edwarto01w,6.7
elysh01w,4.5
enissh01w,7.0
erbsu01w,4.0
fallotr01w,9.7
farriba01w,5.4
feastal01w,9.2
feifesu01w,1.8
ferdima01w,10.8
fernama01w,10.5
ferrama01w,2.4
figgsuk01w,10.5
firsool01w,1.5
floremi01w,5.2
flukety01w,3.4
folklkr01w,10.7
fordch01w,14.2
fordki01w,4.7
fordst01w,1.4
fowlesy01w,12.7
francde01w,1.1
frankaq01w,4.1
fresest01w,3.4
frettla01w,4.2
friertr01w,1.4
frohlli01w,2.8
futreca01w,2.7
gaithka01w,1.7
garcibe01w,1.9
gardike01w,7.3
gardnan01w,3.2
garnean01w,6.3
gaydeco01w,1.1
gearlka01w,5.6
gibsoke01w,2.9
gilloje01w,10.2
gilmous01w,1.3
gisseka01w,1.2
givench01w,1.4
gomisem01w,1.4
goodsad01w,9.9
goringi01w,4.2
gortmsh01w,3.6
granter01w,3.4
grecomi01w,1.9
greenci01w,1.6
grginve01w,2.8
griffyo01w,14.4
groomla01w,5.2
grubigo01w,5.6
grudasa01w,7.9
hairska01w,2.8
hallam01w,2.4
hallvi01w,4.0
hammobe01w,11.6
hamzoro01w,1.2
hardili01w,9.8
harpela01w,7.4
harrido01w,2.0
harrili01w,7.8
harrokr01w,6.3
haydeva01w,7.8
haynikr01w,6.3
headde01w,2.7
hendene01w,2.6
hendetr01w,2.0
henniso01w,5.7
herriam01w,4.8
hibbeka01w,3.8
hicksje01w,5.2
hillec01w,1.7
hledeko01w,6.3
hodgedo01w,4.2
hodgero01w,5.3
hoffmeb01w,8.4
holdsch01w,15.2
hollake01w,9.3
holmejo01w,3.9
holmese01w,4.0
holtam01w,8.3
hopeky01w,1.3
hornbal01w,11.0
houstch01w,8.9
humphta01w,7.8
irvinsa01w,3.8
ivanyda01w,4.6
iveyni01w,4.8
jacksde01w,6.1
jacksgw01w,5.4
jacksla01w,16.8
jacksta01w,4.8
jacksta02w,6.9
jacksti02w,8.2
jacobam01w,5.0
jamesta01w,4.3
joensca01w,5.4
johnsad01w,7.6
johnsch01w,1.6
johnsja01w,2.9
johnsla01w,3.1
johnsni01w,4.0
johnspo01w,4.3
johnssh01w,12.3
johnste01w,9.0
johnsti01w,7.6
johnsvi01w,12.1
jonesas01w,10.5
jonesch01w,5.5
jonesja01w,3.1
