feature,importance
points_diff_3yr,0.0923151866091193
win_rate_3yr,0.09174118014584108
coach_overall,0.08809546031382517
o_pts,0.08403594399925024
d_pts,0.0807462981212308
player_overall_avg,0.08012409873940186
o_reb,0.07957924958057547
player_stamina_avg,0.07527905823009295
player_defense_avg,0.06717595679793041
player_offense_avg,0.06616477622205981
d_reb,0.060349255946581824
won,0.05343417255221014
lost,0.04152233926718738
playoff_rate_3yr,0.029518806360451774
confID,0.009918217114241823
